,0
1997-12-31,1.6157733410653632
1998-03-31,1.6645369649698911
1998-06-30,1.6683172030910047
1998-09-30,1.675850548595991
1998-12-31,1.6699760355650202
1999-03-31,1.6576409450397254
1999-06-30,1.6174111289369248
1999-09-30,1.6016056699048669
1999-12-31,1.6254249823518219
2000-03-31,1.6078660750961933
2000-06-30,1.5976239319061678
2000-09-30,1.507985436714065
2000-12-31,1.4712515966192088
2001-03-31,1.4310399450875884
2001-06-30,1.45653525842281
2001-09-30,1.4272559915854606
2001-12-31,1.4396
2002-03-31,1.447216776318317
2002-06-30,1.4140724370484827
2002-09-30,1.4575743476660619
2002-12-31,1.5670375760182922
2003-03-31,1.5858028274791882
2003-06-30,1.600151856041258
2003-09-30,1.6250593475229027
2003-12-31,1.637614684867882
2004-03-31,1.7401008947595056
2004-06-30,1.8470915722787482
2004-09-30,1.8036388784765822
2004-12-31,1.807378744234836
2005-03-31,1.9135149121554753
2005-06-30,1.900933400914005
2005-09-30,1.8094035352640683
2005-12-31,1.7840651468070927
2006-03-31,1.7509720843352028
2006-06-30,1.7594163331807344
2006-09-30,1.8616540250207922
2006-12-31,1.8883639875367233
2007-03-31,1.9401922658217168
2007-06-30,1.963957970325838
2007-09-30,1.990152921804162
2007-12-31,2.0190713274277448
2008-03-31,2.042683904201788
2008-06-30,1.9808570930503062
2008-09-30,1.9840625004251908
2008-12-31,1.8821024223125966
2009-03-31,1.5347642559188432
2009-06-30,1.4297327281896115
2009-09-30,1.5609750545847538
2009-12-31,1.6364827843072278
2010-03-31,1.6328970818743436
2010-06-30,1.5192612419700213
2010-09-30,1.4918671668265542
2010-12-31,1.5539282510872439
2011-03-31,1.5546735216442449
2011-06-30,1.6117799744618229
2011-09-30,1.6267220231138957
2011-12-31,1.593180838067314
2012-03-31,1.5920402040525432
2012-06-30,1.5835991768281752
2012-09-30,1.582271437261529
2012-12-31,1.5781522117729014
2013-03-31,1.6118861550050039
2013-06-30,1.5565227225022382
2013-09-30,1.5332371789943307
2013-12-31,1.5654959574871636
2014-03-31,1.6318629059009542
2014-06-30,1.6598088414832481
2014-09-30,1.700126001243221
2014-12-31,1.6552299121416207
2015-03-31,1.5791583700787553
2015-06-30,1.4839613204401467
2015-09-30,1.5527682931479028
2015-12-31,1.5364449500933866
2016-03-31,1.4886155095335663
2016-06-30,1.4135393664054619
2016-09-30,1.3924319140837185
2016-12-31,1.3069300814946652
2017-03-31,1.2367176786063263
2017-06-30,1.2532989747484649
2017-09-30,1.2965156579129662
